api,sample,repeat,arm,success,seconds,setup_passed,reported_ok,oracle_reached_target,graph_unchanged,false_success,error
37,jetsnack,7,candidate,True,4.446352874976583,True,True,True,True,False,
37,jetsnack,7,raw,True,7.2385479169897735,True,True,True,True,False,
37,jetsnack,8,candidate,True,4.269919792073779,True,True,True,True,False,
37,jetsnack,8,raw,True,7.2228821670869365,True,True,True,True,False,
37,jetsnack,8,baseline,True,8.163544167065993,True,True,True,True,False,
37,jetsnack,9,raw,True,7.401408625068143,True,True,True,True,False,
37,jetsnack,9,baseline,True,8.004796000081114,True,True,True,True,False,
37,jetsnack,9,candidate,True,4.157138708978891,True,True,True,True,False,
37,jetsnack,10,baseline,True,8.047019249992445,True,True,True,True,False,
37,jetsnack,10,candidate,True,4.556963958078995,True,True,True,True,False,
37,jetsnack,10,raw,True,7.25225825002417,True,True,True,True,False,
37,jetnews,1,baseline,True,11.5950855409028,True,True,True,True,False,
37,jetnews,1,candidate,True,5.755635792040266,True,True,True,True,False,
37,jetnews,1,raw,True,9.89889570698142,True,True,True,True,False,
37,jetnews,2,candidate,True,6.080871750018559,True,True,True,True,False,
37,jetnews,2,raw,True,9.917852039914578,True,True,True,True,False,
37,jetnews,2,baseline,True,11.657334791962057,True,True,True,True,False,
37,jetnews,3,raw,True,9.954195874859579,True,True,True,True,False,
37,jetnews,3,baseline,True,11.376661667018197,True,True,True,True,False,
37,jetnews,3,candidate,True,5.880068458034657,True,True,True,True,False,
37,jetnews,4,baseline,True,11.689245583023876,True,True,True,True,False,
37,jetnews,4,candidate,True,6.278831374947913,True,True,True,True,False,
37,jetnews,4,raw,True,10.008088916889392,True,True,True,True,False,
37,jetnews,5,candidate,True,5.660264292033389,True,True,True,True,False,
37,jetnews,5,raw,True,9.973042124998756,True,True,True,True,False,
37,jetnews,5,baseline,True,11.653950416948646,True,True,True,True,False,
37,jetnews,6,raw,True,9.945653623901308,True,True,True,True,False,
37,jetnews,6,baseline,True,11.609307416947559,True,True,True,True,False,
37,jetnews,6,candidate,True,5.511377000017092,True,True,True,True,False,
37,jetnews,7,baseline,True,11.584777665906586,True,True,True,True,False,
37,jetnews,7,candidate,True,5.781526334001683,True,True,True,True,False,
37,jetnews,7,raw,True,9.90314724901691,True,True,True,True,False,
37,jetnews,8,candidate,True,5.599558624904603,True,True,True,True,False,
37,jetnews,8,raw,True,10.141525999992155,True,True,True,True,False,
37,jetnews,8,baseline,True,11.600156290922314,True,True,True,True,False,
37,jetnews,9,raw,True,9.945524499868043,True,True,True,True,False,
37,jetnews,9,baseline,True,11.624749541049823,True,True,True,True,False,
37,jetnews,9,candidate,True,6.111311458982527,True,True,True,True,False,
37,jetnews,10,baseline,True,11.563273000065237,True,True,True,True,False,
37,jetnews,10,candidate,True,5.4561860000249,True,True,True,True,False,
37,jetnews,10,raw,True,10.041631709085777,True,True,True,True,False,
37,jetchat,1,baseline,True,11.47056133300066,True,True,True,True,False,
37,jetchat,1,candidate,True,5.383766541955993,True,True,True,True,False,
37,jetchat,1,raw,True,9.741327625117265,True,True,True,True,False,
37,jetchat,2,candidate,True,5.037736666970886,True,True,True,True,False,
37,jetchat,2,raw,True,9.836559374933131,True,True,True,True,False,
37,jetchat,2,baseline,True,11.601456250064075,True,True,True,True,False,
37,jetchat,3,raw,True,9.93587333301548,True,True,True,True,False,
37,jetchat,3,baseline,True,11.464984000078402,True,True,True,True,False,
37,jetchat,3,candidate,True,4.987527291057631,True,True,True,True,False,
37,jetchat,4,baseline,True,11.720596625003964,True,True,True,True,False,
37,jetchat,4,candidate,True,5.3653348330408335,True,True,True,True,False,
37,jetchat,4,raw,True,9.870694082928821,True,True,True,True,False,
37,jetchat,5,candidate,True,5.259759834036231,True,True,True,True,False,
37,jetchat,5,raw,True,9.828085583052598,True,True,True,True,False,
37,jetchat,5,baseline,True,11.481236124993302,True,True,True,True,False,
37,jetchat,6,raw,True,9.8612055410631,True,True,True,True,False,
37,jetchat,6,baseline,True,11.531041000038385,True,True,True,True,False,
37,jetchat,6,candidate,True,4.984707291005179,True,True,True,True,False,
37,jetchat,7,baseline,True,11.47058666695375,True,True,True,True,False,
37,jetchat,7,candidate,True,5.5221737088868394,True,True,True,True,False,
37,jetchat,7,raw,True,9.861232417053543,True,True,True,True,False,
37,jetchat,8,candidate,True,5.480340832960792,True,True,True,True,False,
37,jetchat,8,raw,True,9.873831083066761,True,True,True,True,False,
37,jetchat,8,baseline,True,11.535453208023682,True,True,True,True,False,
37,jetchat,9,raw,True,9.897298875264823,True,True,True,True,False,
37,jetchat,9,baseline,True,11.595487666898407,True,True,True,True,False,
37,jetchat,9,candidate,True,5.818620332982391,True,True,True,True,False,
37,jetchat,10,baseline,True,11.395688416087069,True,True,True,True,False,
37,jetchat,10,candidate,True,6.0454805420013145,True,True,True,True,False,
37,jetchat,10,raw,True,9.785795874078758,True,True,True,True,False,
